Distence,Pressure,
0,3.46,3.46
0.01,3.43,3.43
0.02,3.22,3.22
0.03,2.92,2.92
0.03,2.65,2.65
0.04,2.37,2.37
0.05,2.14,2.14
0.05,1.91,1.91
0.06,1.63,1.63
0.07,1.38,1.38
0.08,1.15,1.15
0.08,0.92,0.92
0.09,0.76,0.76
0.1,0.58,0.58
0.11,0.29,0.29
0.11,-0.01,0.01
0.12,-0.31,0.31
0.13,-0.63,0.63
0.13,-0.92,0.92
0.14,-1.23,1.23
0.15,-1.61,1.61
0.16,-1.94,1.94
0.16,-2.25,2.25
0.17,-2.56,2.56
0.18,-2.83,2.83
0.18,-3.13,3.13
0.19,-3.43,3.43
0.2,-3.68,3.68
0.21,-3.97,3.97
0.22,-4.25,4.25
0.22,-4.5,4.5
0.23,-4.8,4.8
0.24,-5.08,5.08
0.24,-5.32,5.32
0.25,-5.59,5.59
0.26,-5.85,5.85
0.27,-6.08,6.08
0.27,-6.35,6.35
0.28,-6.59,6.59
0.29,-6.81,6.81
0.29,-7.06,7.06
0.3,-7.31,7.31
0.31,-7.53,7.53
0.32,-7.79,7.79
0.33,-8.04,8.04
0.33,-8.23,8.23
0.34,-8.46,8.46
0.35,-8.68,8.68
0.35,-8.87,8.87
0.36,-9.1,9.1
0.37,-9.31,9.31
0.38,-9.53,9.53
0.38,-9.77,9.77
0.39,-9.96,9.96
0.4,-10.18,10.18
0.41,-10.41,10.41
0.41,-10.59,10.59
0.42,-10.78,10.78
0.43,-10.99,10.99
0.43,-11.16,11.16
0.44,-11.35,11.35
0.45,-11.55,11.55
0.46,-11.71,11.71
0.46,-11.88,11.88
0.47,-12.06,12.06
0.48,-12.21,12.21
0.48,-12.36,12.36
0.49,-12.52,12.52
0.5,-12.65,12.65
0.51,-12.79,12.79
0.52,-12.95,12.95
0.52,-13.08,13.08
0.53,-13.22,13.22
0.54,-13.36,13.36
0.54,-13.47,13.47
0.55,-13.61,13.61
0.56,-13.75,13.75
0.57,-13.85,13.85
0.57,-13.97,13.97
0.58,-14.1,14.1
0.59,-14.19,14.19
0.59,-14.31,14.31
0.6,-14.42,14.42
0.61,-14.51,14.51
0.62,-14.61,14.61
0.63,-14.72,14.72
0.63,-14.8,14.8
0.64,-14.89,14.89
0.65,-14.99,14.99
0.65,-15.05,15.05
0.66,-15.14,15.14
0.67,-15.23,15.23
0.68,-15.29,15.29
0.68,-15.37,15.37
0.69,-15.44,15.44
0.7,-15.49,15.49
0.7,-15.57,15.57
0.71,-15.64,15.64
0.72,-15.67,15.67
0.73,-15.74,15.74
0.73,-15.8,15.8
0.74,-15.83,15.83
0.75,-15.9,15.9
0.76,-15.93,15.93
0.76,-15.96,15.96
0.77,-16.01,16.01
0.78,-16.04,16.04
0.78,-16.07,16.07
0.79,-16.13,16.13
0.8,-16.15,16.15
0.81,-16.17,16.17
0.81,-16.22,16.22
0.82,-16.24,16.24
0.83,-16.25,16.25
0.83,-16.3,16.3
0.84,-16.32,16.32
0.85,-16.33,16.33
0.86,-16.38,16.38
0.87,-16.39,16.39
0.87,-16.4,16.4
0.88,-16.45,16.45
0.89,-16.47,16.47
0.89,-16.47,16.47
0.9,-16.51,16.51
0.91,-16.52,16.52
0.92,-16.53,16.53
0.92,-16.57,16.57
0.93,-16.58,16.58
0.94,-16.58,16.58
0.94,-16.62,16.62
0.95,-16.62,16.62
0.96,-16.63,16.63
0.97,-16.67,16.67
0.98,-16.68,16.68
0.98,-16.68,16.68
0.99,-16.71,16.71
1,-16.71,16.71
1,-16.72,16.72
1.01,-16.76,16.76
1.02,-16.76,16.76
1.03,-16.76,16.76
1.03,-16.79,16.79
1.04,-16.79,16.79
1.05,-16.8,16.8
1.05,-16.83,16.83
1.06,-16.83,16.83
1.07,-16.83,16.83
1.08,-16.87,16.87
1.08,-16.87,16.87
1.09,-16.87,16.87
1.1,-16.9,16.9
1.11,-16.9,16.9
1.11,-16.9,16.9
1.12,-16.93,16.93
1.13,-16.93,16.93
1.13,-16.94,16.94
1.14,-16.97,16.97
1.15,-16.97,16.97
1.16,-16.97,16.97
1.16,-17,17
1.17,-17,17
1.18,-17,17
1.18,-17.03,17.03
1.19,-17.03,17.03
1.2,-17.03,17.03
1.21,-17.06,17.06
1.22,-17.06,17.06
1.22,-17.06,17.06
1.23,-17.09,17.09
1.24,-17.09,17.09
1.24,-17.09,17.09
1.25,-17.11,17.11
1.26,-17.11,17.11
1.27,-17.11,17.11
1.27,-17.14,17.14
1.28,-17.14,17.14
1.29,-17.14,17.14
1.29,-17.17,17.17
1.3,-17.16,17.16
1.31,-17.16,17.16
1.32,-17.2,17.2
1.33,-17.2,17.2
1.33,-17.22,17.22
1.34,-17.23,17.23
1.35,-17.22,17.22
1.35,-17.25,17.25
1.36,-17.27,17.27
1.37,-17.26,17.26
1.38,-17.28,17.28
1.38,-17.29,17.29
1.39,-17.29,17.29
1.4,-17.31,17.31
1.41,-17.33,17.33
1.41,-17.32,17.32
